,EC,FC,HP_EHR
T0090,5.073,23.1,1.948
T0091,5.096,23.1,1.948
T0092,5.111,23.1,1.948
T0093,5.127,23.1,1.948
T0094,5.157,23.1,1.948
T0095,5.203,23.1,1.948
T0096,5.279,23.1,1.948
T0097,5.439,23.1,1.948
T0098,5.447,23.1,1.948
T0099,5.424,23.1,1.948
T0100,5.416,23.1,1.948
T0101,5.401,23.1,1.948
T0102,5.5,23.1,1.948
T0103,5.515,23.1,1.948
T0104,5.485,23.1,1.948
T0105,5.393,23.1,1.948
T0106,5.378,23.1,1.948
T0107,5.332,23.1,1.948
T0108,5.21,23.1,1.948
T0109,5.165,23.1,1.948
T0110,5.127,23.1,1.948
T0111,5.119,23.1,1.948
T0112,5.119,23.1,1.948
T0113,5.149,23.1,1.948
T0114,5.142,23.1,1.948
T0115,5.111,23.1,1.948
T0116,5.081,23.1,1.929
T0117,5.066,23.1,1.929
T0118,5.028,23.1,1.929
T0119,5.028,23.1,1.929
T0120,5.028,23.1,1.929
T0121,5.035,23.1,1.929
T0122,5.043,23.1,1.929
T0123,5.043,23.1,1.929
T0124,5.043,23.1,1.929
T0125,5.028,23.1,1.929
T0126,5.02,23.1,1.929
T0127,5.02,23.1,1.929
T0128,5.012,23.1,1.929
T0129,5.005,23.1,1.929
T0130,4.997,23.1,1.929
T0131,4.989,23.1,1.929
T0132,4.974,23.1,1.929
T0133,4.959,23.1,1.929
T0134,4.944,23.1,1.929
T0135,4.959,23.1,1.929
T0136,4.959,23.1,1.929
T0137,4.974,23.1,1.929
T0138,4.982,23.1,1.929
T0139,4.989,23.1,1.929
T0140,4.997,23.1,1.929
T0141,5.012,23.1,1.929
T0142,5.028,23.1,1.929
T0143,5.043,23.1,1.929
T0144,5.066,23.1,1.929
T0145,5.066,23.1,1.929
T0146,5.066,23.1,1.929
T0147,5.073,23.1,1.929
T0148,5.088,23.1,1.929
T0149,5.096,23.1,1.929
T0150,5.119,23.1,1.929
T0151,5.127,23.1,1.929
T0152,5.134,23.1,1.929
T0153,5.142,23.1,1.929
T0154,5.142,23.1,1.929
T0155,5.119,23.1,1.929
T0156,5.066,23.1,1.929
T0157,4.997,23.1,1.929
T0158,4.951,23.1,1.929
T0159,4.928,23.1,1.929
T0160,4.906,23.1,1.929
T0161,4.928,23.1,1.929
T0162,4.936,23.1,1.929
T0163,4.974,23.1,1.929
T0164,5.02,23.1,1.929
T0165,5.035,23.1,1.929
T0166,5.035,23.1,1.929
T0167,5.02,23.1,1.929
T0168,4.997,23.1,1.929
T0169,4.997,23.1,1.929
T0170,4.974,23.1,1.929
T0171,4.974,23.1,1.929
T0172,4.974,23.1,1.929
T0173,4.951,23.1,1.929
T0174,4.967,23.1,1.929
T0175,4.951,23.1,1.929
T0176,4.928,23.1,1.929
T0177,4.913,23.1,1.929
T0178,4.89,23.1,1.929
T0179,4.86,23.1,1.929
T0180,4.837,23.1,1.929
T0181,4.807,23.1,1.929
T0182,4.791,23.1,1.929
T0183,4.776,23.1,1.929
T0184,4.807,23.1,1.929
T0185,4.852,23.1,1.929
T0186,4.86,23.1,1.929
T0187,4.898,23.1,1.929
T0188,5.012,23.1,1.929
T0189,5.035,23.1,1.929
T0190,5.073,23.1,1.929
T0191,5.119,23.1,1.929
T0192,5.104,23.1,1.929
T0193,5.111,23.1,1.929
T0194,5.127,23.1,1.929
T0195,5.195,23.1,1.929
T0196,5.241,23.1,1.929
T0197,5.287,23.1,1.929
T0198,5.294,23.1,1.929
T0199,5.226,23.1,1.929
T0200,5.172,23.1,1.929
T0201,5.142,23.1,1.929
T0202,5.073,23.1,1.929
T0203,5.043,23.1,1.929
T0204,5.043,23.1,1.929
T0205,5.043,23.1,1.929
T0206,5.035,23.1,1.929
T0207,5.028,23.1,1.929
T0208,4.982,23.1,1.929
T0209,4.936,23.1,1.929
T0210,4.913,23.1,1.929
T0211,4.883,23.1,1.929
T0212,4.845,23.1,1.929
T0213,4.822,23.1,1.929
T0214,4.852,23.1,1.929
T0215,4.883,23.1,1.929
T0216,4.875,23.1,1.929
T0217,4.86,23.1,1.929
T0218,4.906,23.1,1.929
T0219,4.936,23.1,1.929
T0220,4.974,23.1,1.929
T0221,4.974,23.1,1.929
T0222,4.989,23.1,1.929
T0223,4.951,23.1,1.929
T0224,4.928,23.1,1.929
T0225,4.913,23.1,1.929
T0226,4.913,23.1,1.929
T0227,4.921,23.1,1.929
T0228,4.906,23.1,1.929
T0229,4.898,23.1,1.929
T0230,4.906,23.1,1.929
T0231,4.898,23.1,1.929
T0232,4.906,23.1,1.929
T0233,4.959,23.1,1.929
T0234,5.035,23.1,1.929
T0235,5.058,23.1,1.929
T0236,5.05,23.1,1.929
T0237,5.02,23.1,1.929
T0238,4.997,23.1,1.929
T0239,5.028,23.1,1.929
T0240,5.043,23.1,1.929
T0241,5.058,23.1,1.929
T0242,5.073,23.1,1.929
T0243,5.096,23.1,1.929
T0244,5.134,23.1,1.929
T0245,5.127,23.1,1.929
T0246,5.111,23.1,1.929
T0247,5.081,23.1,1.929
T0248,5.088,23.1,1.929
T0249,5.111,23.1,1.929
T0250,5.142,23.1,1.929
T0251,5.111,23.1,1.929
T0252,5.088,23.1,1.929
T0253,5.058,23.1,1.929
T0254,5.02,23.1,1.929
T0255,5.005,23.1,1.929
T0256,5.028,23.1,1.929
T0257,5.035,23.1,1.929
T0258,5.043,23.1,1.929
T0259,5.035,23.1,1.929
T0260,5.02,23.1,1.929
T0261,5.012,23.1,1.929
T0262,4.997,23.1,1.929
T0263,4.989,23.1,1.929
T0264,4.982,23.1,1.929
T0265,4.974,23.1,1.929
T0266,4.974,23.1,1.929
T0267,4.974,23.1,1.929
T0268,4.967,23.1,1.929
T0269,4.982,23.1,1.929
T0270,4.989,23.1,1.929
T0271,4.982,23.1,1.929
T0272,4.982,23.1,1.929
T0273,4.974,23.1,1.929
T0274,4.974,23.1,1.929
T0275,4.967,23.1,1.929
T0276,4.967,23.1,1.929
T0277,4.967,23.1,1.929
T0278,4.967,23.1,1.929
T0279,4.982,23.1,1.929
T0280,5.005,23.1,1.929
T0281,5.012,23.1,1.929
T0282,5.043,23.1,1.929
T0283,5.066,23.1,1.929
T0284,5.073,23.1,1.929
T0285,5.081,23.1,1.929
T0286,5.081,23.1,1.929
T0287,5.058,23.1,1.929
T0288,5.028,23.1,1.929
T0289,4.997,23.1,1.929
T0290,5.02,23.1,1.929
T0291,5.005,23.1,1.929
T0292,5.066,23.1,1.929
T0293,5.081,23.1,1.929
T0294,5.028,23.1,1.929
T0295,5.043,23.1,1.929
T0296,5.088,23.1,1.929
T0297,5.096,23.1,1.929
T0298,5.088,23.1,1.929
T0299,5.058,23.1,1.929
T0300,5.02,23.1,1.929
T0301,5.005,23.1,1.929
T0302,5.005,23.1,1.929
T0303,4.997,23.1,1.929
T0304,5.005,23.1,1.929
T0305,5.028,23.1,1.929
T0306,5.058,23.1,1.929
T0307,5.066,23.1,1.929
T0308,5.05,23.1,1.929
T0309,5.043,23.1,1.929
T0310,5.058,23.1,1.929
T0311,5.066,23.1,1.929
T0312,5.058,23.1,1.929
T0313,5.058,23.1,1.929
T0314,5.05,23.1,1.929
T0315,5.05,23.1,1.929
T0316,5.05,23.1,1.929
T0317,5.066,23.1,1.929
T0318,5.066,23.1,1.929
T0319,5.058,23.1,1.929
T0320,5.043,23.1,1.929
T0321,5.035,23.1,1.929
T0322,5.028,23.1,1.929
T0323,4.997,23.1,1.929
T0324,4.974,23.1,1.929
T0325,4.913,23.1,1.929
T0326,4.837,23.1,1.929
T0327,4.845,23.1,1.929
T0328,4.913,23.1,1.929
T0329,4.967,23.1,1.929
T0330,4.951,23.1,1.929
T0331,4.967,23.1,1.929
T0332,4.928,23.1,1.929
T0333,4.906,23.1,1.929
T0334,4.875,23.1,1.929
T0335,4.86,23.1,1.929
T0336,4.845,23.1,1.929
T0337,4.791,23.1,1.929
T0338,4.761,23.1,1.929
T0339,4.761,23.1,1.929
T0340,4.761,23.1,1.929
T0341,4.7,23.1,1.929
T0342,4.662,23.1,1.929
T0343,4.669,23.1,1.929
T0344,4.631,23.1,1.929
T0345,4.624,23.1,1.929
T0346,4.624,23.1,1.929
T0347,4.624,23.1,1.929
T0348,4.601,23.1,1.929
T0349,4.57,23.1,1.929
T0350,4.608,23.1,1.929
T0351,4.669,23.1,1.929
T0352,4.669,23.1,1.929
T0353,4.746,23.1,1.929
T0354,4.677,23.1,1.929
T0355,4.692,23.1,1.929
T0356,4.746,23.1,1.929
T0357,4.761,23.1,1.929
T0358,4.868,23.1,1.929
T0359,4.982,23.1,1.929
T0360,5.043,23.1,1.929
T0361,5.05,23.1,1.929
T0362,5.02,23.1,1.929
T0363,4.989,23.1,1.929
T0364,5.005,23.1,1.929
T0365,5.028,23.1,1.929
T0366,5.028,23.1,1.929
T0367,4.997,23.1,1.929
T0368,4.982,23.1,1.929
T0369,4.967,23.1,1.929
T0370,4.951,23.1,1.929
T0371,4.906,23.1,1.929
T0372,4.875,23.1,1.929
T0373,4.86,23.1,1.929
T0374,4.86,23.1,1.929
T0375,4.906,23.1,1.929
T0376,4.936,23.1,1.929
T0377,4.974,23.1,1.929
T0378,5.088,23.1,1.929
T0379,5.058,23.1,1.929
T0380,5.066,23.1,1.929
T0381,5.104,23.1,1.929
T0382,5.073,23.1,1.929
T0383,5.05,23.1,1.929
T0384,5.035,23.1,1.929
T0385,5.02,23.1,1.929
T0386,5.012,23.1,1.929
T0387,5.02,23.1,1.929
T0388,5.028,23.1,1.929
T0389,5.035,23.1,1.929
T0390,5.043,23.1,1.929
T0391,5.043,23.1,1.929
T0392,5.043,23.1,1.929
T0393,5.028,23.1,1.929
T0394,5.012,23.1,1.929
T0395,4.982,23.1,1.929
T0396,4.959,23.1,1.929
T0397,4.944,23.1,1.929
T0398,4.936,23.1,1.929
T0399,4.951,23.1,1.929
T0400,4.967,23.1,1.929
T0401,4.982,23.1,1.929
T0402,5.02,23.1,1.929
T0403,5.012,23.1,1.929
T0404,5.02,23.1,1.929
T0405,5.028,23.1,1.929
T0406,5.012,23.1,1.929
T0407,5.005,23.1,1.929
T0408,5.012,23.1,1.929
T0409,5.012,23.1,1.929
T0410,4.982,23.1,1.929
T0411,4.921,23.1,1.929
T0412,4.906,23.1,1.929
T0413,4.936,23.1,1.929
T0414,4.982,23.1,1.929
T0415,4.989,23.1,1.929
T0416,4.989,23.1,1.929
T0417,4.997,23.1,1.929
T0418,5.02,23.1,1.929
T0419,5.012,23.1,1.929
T0420,4.989,23.1,1.929
T0421,4.989,23.1,1.929
T0422,4.982,23.1,1.929
T0423,4.982,23.1,1.929
T0424,4.974,23.1,1.929
T0425,4.982,23.1,1.929
T0426,5.005,23.1,1.929
T0427,5.02,23.1,1.929
T0428,5.028,23.1,1.929
T0429,5.043,23.1,1.929
T0430,5.081,23.1,1.929
T0431,5.088,23.1,1.929
T0432,5.111,23.1,1.929
T0433,5.149,23.1,1.929
T0434,5.149,23.1,1.929
T0435,5.172,23.1,1.929
T0436,5.188,23.1,1.929
T0437,5.218,23.1,1.929
T0438,5.241,23.1,1.929
T0439,5.233,23.1,1.929
T0440,5.18,23.1,1.929
T0441,5.127,23.1,1.929
T0442,5.18,23.1,1.929
T0443,5.096,23.1,1.929
T0444,5.012,23.1,1.929
T0445,4.959,23.1,1.929
T0446,4.913,23.1,1.929
T0447,4.913,23.1,1.929
T0448,4.959,23.1,1.929
T0449,5.081,23.1,1.929
T0450,5.188,23.1,1.929
T0451,5.264,23.1,1.929
T0452,5.287,23.1,1.929
T0453,5.294,23.1,1.929
T0454,5.332,23.1,1.929
T0455,5.355,23.1,1.929
T0456,5.409,23.1,1.929
T0457,5.485,23.1,1.929
T0458,5.424,23.1,1.929
T0459,5.393,23.1,1.929
T0460,5.325,23.1,1.929
T0461,5.256,23.1,1.929
T0462,5.195,23.1,1.929
T0463,5.142,23.1,1.929
T0464,5.134,23.1,1.929
T0465,5.119,23.1,1.929
T0466,5.104,23.1,1.929
T0467,5.073,23.1,1.929
T0468,5.028,23.1,1.929
T0469,4.982,23.1,1.929
T0470,4.928,23.1,1.929
T0471,4.913,23.1,1.929
T0472,4.944,23.1,1.929
T0473,4.982,23.1,1.929
T0474,4.982,23.1,1.929
T0475,4.967,23.1,1.929
T0476,4.936,23.1,1.929
T0477,4.936,23.1,1.929
T0478,4.944,23.1,1.929
T0479,4.944,23.1,1.929
T0480,4.951,23.1,1.929
T0481,4.951,23.1,1.929
T0482,4.959,23.1,1.929
T0483,4.967,23.1,1.929
T0484,4.974,23.1,1.929
T0485,4.974,23.1,1.929
T0486,4.967,23.1,1.929
T0487,4.967,23.1,1.929
T0488,4.967,23.1,1.929
T0489,4.951,23.1,1.929
T0490,4.921,23.1,1.929
T0491,4.906,23.1,1.929
T0492,4.883,23.1,1.929
T0493,4.875,23.1,1.929
T0494,4.875,23.1,1.929
T0495,4.883,23.1,1.929
T0496,4.868,23.1,1.929
T0497,4.868,23.1,1.929
T0498,4.89,23.1,1.929
T0499,4.875,23.1,1.929
T0500,4.868,23.1,1.929
T0501,4.89,23.1,1.929
T0502,4.913,23.1,1.929
T0503,4.928,23.1,1.929
T0504,4.928,23.1,1.929
T0505,4.944,23.1,1.929
T0506,4.959,23.1,1.929
T0507,4.997,23.1,1.929
T0508,4.989,23.1,1.929
T0509,4.974,23.1,1.929
T0510,4.982,23.1,1.929
T0511,4.989,23.1,1.929
T0512,4.982,23.1,1.929
T0513,4.982,23.1,1.929
T0514,4.982,23.1,1.929
T0515,4.944,23.1,1.929
T0516,4.883,23.1,1.929
T0517,4.814,23.1,1.929
T0518,4.822,23.1,1.929
T0519,4.845,23.1,1.929
T0520,4.913,23.1,1.929
T0521,5.02,23.1,1.929
T0522,5.066,23.1,1.929
T0523,5.18,23.1,1.929
T0524,5.233,23.1,1.929
T0525,5.302,23.1,1.929
T0526,5.401,23.1,1.929
T0527,5.431,23.1,1.929
T0528,5.5,23.1,1.929
T0529,5.53,23.1,1.929
T0530,5.53,23.1,1.929
T0531,5.553,23.1,1.929
T0532,5.416,23.1,1.929
T0533,5.386,23.1,1.929
T0534,5.279,23.1,1.929
T0535,5.195,23.1,1.929
T0536,5.165,23.1,1.929
T0537,5.119,23.1,1.929
T0538,5.081,23.1,1.929
T0539,5.043,23.1,1.929
T0540,5.035,23.1,1.929
T0541,5.028,23.1,1.929
T0542,5.012,23.1,1.929
T0543,4.997,23.1,1.929
T0544,4.997,23.1,1.929
T0545,5.02,23.1,1.929
T0546,5.02,23.1,1.929
T0547,5.012,23.1,1.929
T0548,5.02,23.1,1.929
T0549,5.028,23.1,1.929
T0550,5.028,23.1,1.929
T0551,5.02,23.1,1.929
T0552,5.02,23.1,1.929
T0553,5.012,23.1,1.929
T0554,5.012,23.1,1.929
T0555,5.02,23.1,1.929
T0556,5.028,23.1,1.929
T0557,5.028,23.1,1.929
T0558,5.02,23.1,1.929
T0559,5.012,23.1,1.929
T0560,5.012,23.1,1.929
T0561,5.012,23.1,1.929
T0562,4.989,23.1,1.929
T0563,4.959,23.1,1.929
T0564,4.936,23.1,1.929
T0565,4.906,23.1,1.929
T0566,4.883,23.1,1.929
T0567,4.883,23.1,1.929
T0568,4.898,23.1,1.929
T0569,4.936,23.1,1.929
T0570,4.944,23.1,1.929
T0571,4.951,23.1,1.929
T0572,4.951,23.1,1.929
T0573,4.951,23.1,1.929
T0574,4.928,23.1,1.929
T0575,4.936,23.1,1.929
T0576,4.959,23.1,1.929
T0577,4.951,23.1,1.929
T0578,4.959,23.1,1.929
T0579,5.02,23.1,1.929
T0580,5.058,23.1,1.929
T0581,5.111,23.1,1.929
T0582,5.111,23.1,1.929
T0583,5.127,23.1,1.929
T0584,5.134,23.1,1.929
T0585,5.081,23.1,1.929
T0586,5.066,23.1,1.929
T0587,4.997,23.1,1.929
T0588,4.936,23.1,1.929
T0589,4.928,23.1,1.929
T0590,4.883,23.1,1.929
T0591,4.868,23.1,1.929
T0592,4.921,23.1,1.929
T0593,4.967,23.1,1.929
T0594,4.982,23.1,1.929
T0595,4.982,23.1,1.929
T0596,4.997,23.1,1.929
T0597,5.005,23.1,1.929
T0598,5.012,23.1,1.929
T0599,5.035,23.1,1.929
T0600,5.05,23.1,1.929
T0601,5.066,23.1,1.929
T0602,5.081,23.1,1.929
T0603,5.088,23.1,1.929
T0604,5.096,23.1,1.929
T0605,5.111,23.1,1.929
T0606,5.104,23.1,1.929
T0607,5.111,23.1,1.929
T0608,5.119,23.1,1.929
T0609,5.111,23.1,1.929
T0610,5.119,23.1,1.929
T0611,5.111,23.1,1.929
T0612,5.104,23.1,1.929
T0613,5.096,23.1,1.929
T0614,5.088,23.1,1.929
T0615,5.081,23.1,1.929
T0616,5.096,23.1,1.929
T0617,5.165,23.1,1.929
T0618,5.195,23.1,1.929
T0619,5.18,23.1,1.929
T0620,5.172,23.1,1.929
T0621,5.134,23.1,1.929
T0622,5.134,23.1,1.929
T0623,5.149,23.1,1.929
T0624,5.157,23.1,1.929
T0625,5.172,23.1,1.929
T0626,5.195,23.1,1.929
T0627,5.218,23.1,1.929
T0628,5.188,23.1,1.929
T0629,5.165,23.1,1.929
T0630,5.149,23.1,1.929
T0631,5.149,23.1,1.929
T0632,5.172,23.1,1.929
T0633,5.165,23.1,1.929
T0634,5.127,23.1,1.929
T0635,5.111,23.1,1.929
T0636,5.096,23.1,1.929
T0637,5.073,23.1,1.929
T0638,5.058,23.1,1.929
T0639,5.028,23.1,1.929
T0640,5.012,23.1,1.929
T0641,5.005,23.1,1.929
T0642,5.012,23.1,1.929
T0643,5.02,23.1,1.929
T0644,5.012,23.1,1.929
T0645,5.005,23.1,1.929
T0646,5.005,23.1,1.929
T0647,5.005,23.1,1.929
T0648,5.012,23.1,1.929
T0649,5.02,23.1,1.929
T0650,5.028,23.1,1.929
T0651,5.028,23.1,1.929
T0652,5.028,23.1,1.929
T0653,5.028,23.1,1.929
T0654,5.043,23.1,1.929
T0655,5.066,23.1,1.929
T0656,5.058,23.1,1.929
T0657,5.058,23.1,1.929
T0658,5.043,23.1,1.929
T0659,5.035,23.1,1.929
T0660,5.043,23.1,1.929
T0661,5.012,23.1,1.929
T0662,4.989,23.1,1.929
T0663,4.997,23.1,1.929
T0664,5.012,23.1,1.929
T0665,5.012,23.1,1.929
T0666,5.02,23.1,1.929
T0667,5.058,23.1,1.929
T0668,5.058,23.1,1.929
T0669,5.104,23.1,1.929
T0670,5.111,23.1,1.929
T0671,5.111,23.1,1.929
T0672,5.149,23.1,1.929
T0673,5.157,23.1,1.929
T0674,5.096,23.1,1.929
T0675,5.081,23.1,1.929
T0676,5.127,23.1,1.929
T0677,5.172,23.1,1.929
T0678,5.188,23.1,1.929
T0679,5.195,23.1,1.929
T0680,5.188,23.1,1.929
T0681,5.165,23.1,1.929
T0682,5.134,23.1,1.929
T0683,5.081,23.1,1.929
T0684,5.066,23.1,1.929
T0685,5.02,23.1,1.929
T0686,5.028,23.1,1.929
T0687,5.028,23.1,1.929
T0688,5.012,23.1,1.929
T0689,5.02,23.1,1.929
T0690,5.05,23.1,1.929
T0691,5.066,23.1,1.929
T0692,5.088,23.1,1.929
T0693,5.081,23.1,1.929
T0694,5.066,23.1,1.929
T0695,5.066,23.1,1.929
T0696,5.066,23.1,1.929
T0697,5.058,23.1,1.929
T0698,5.088,23.1,1.929
T0699,5.096,23.1,1.929
T0700,5.073,23.1,1.929
T0701,5.119,23.1,1.929
T0702,5.157,23.1,1.929
T0703,5.119,23.1,1.929
T0704,5.043,23.1,1.929
T0705,4.982,23.1,1.929
T0706,4.944,23.1,1.929
T0707,4.944,23.1,1.929
T0708,4.898,23.1,1.929
T0709,4.829,23.1,1.929
T0710,4.837,23.1,1.929
T0711,4.837,23.1,1.929
T0712,4.829,23.1,1.929
T0713,4.86,23.1,1.929
T0714,4.883,23.1,1.929
T0715,4.921,23.1,1.929
T0716,4.936,23.1,1.929
T0717,4.951,23.1,1.929
T0718,4.974,23.1,1.929
T0719,4.997,23.1,1.929
T0720,5.005,23.1,1.929
T0721,4.989,23.1,1.929
T0722,4.944,23.1,1.929
T0723,4.868,23.1,1.929
T0724,4.822,23.1,1.929
T0725,4.807,23.1,1.929
T0726,4.814,23.1,1.929
T0727,4.814,23.1,1.929
T0728,4.814,23.1,1.929
T0729,4.829,23.1,1.929
T0730,4.837,23.1,1.929
T0731,4.814,23.1,1.929
T0732,4.799,23.1,1.929
T0733,4.791,23.1,1.929
T0734,4.791,23.1,1.929
T0735,4.814,23.1,1.929
T0736,4.883,23.1,1.929
T0737,4.906,23.1,1.929
T0738,4.936,23.1,1.929
T0739,4.944,23.1,1.929
T0740,4.936,23.1,1.929
T0741,4.906,23.1,1.929
T0742,4.883,23.1,1.929
T0743,4.868,23.1,1.929
T0744,4.852,23.1,1.929
T0745,4.86,23.1,1.929
T0746,4.829,23.1,1.929
T0747,4.807,23.1,1.929
T0748,4.814,23.1,1.929
T0749,4.814,23.1,1.929
T0750,4.791,23.1,1.929
T0751,4.784,23.1,1.929
T0752,4.768,23.1,1.929
T0753,4.768,23.1,1.929
T0754,4.776,23.1,1.929
T0755,4.776,23.1,1.929
T0756,4.761,23.1,1.929
T0757,4.753,23.1,1.929
T0758,4.746,23.1,1.929
T0759,4.753,23.1,1.929
T0760,4.776,23.1,1.929
T0761,4.791,23.1,1.929
T0762,4.799,23.1,1.929
T0763,4.822,23.1,1.929
T0764,4.86,23.1,1.929
T0765,4.875,23.1,1.929
T0766,4.868,23.1,1.929
T0767,4.875,23.1,1.929
T0768,4.913,23.1,1.929
T0769,4.913,23.1,1.929
T0770,4.883,23.1,1.929
T0771,4.951,23.1,1.929
T0772,4.997,23.1,1.929
T0773,4.997,23.1,1.929
T0774,4.997,23.1,1.929
T0775,5.005,23.1,1.929
T0776,5.043,23.1,1.929
T0777,5.05,23.1,1.929
T0778,5.028,23.1,1.929
T0779,4.974,23.1,1.929
T0780,4.928,23.1,1.929
T0781,4.921,23.1,1.929
T0782,4.967,23.1,1.929
T0783,4.982,23.1,1.929
T0784,5.02,23.1,1.929
T0785,5.05,23.1,1.929
T0786,5.058,23.1,1.929
T0787,5.096,23.1,1.929
T0788,5.188,23.1,1.929
T0789,5.21,23.1,1.929
T0790,5.241,23.1,1.929
T0791,5.271,23.1,1.929
T0792,5.302,23.1,1.929
T0793,5.332,23.1,1.929
T0794,5.294,23.1,1.929
T0795,5.271,23.1,1.929
T0796,5.256,23.1,1.929
T0797,5.271,23.1,1.929
T0798,5.271,23.1,1.929
T0799,5.256,23.1,1.929
T0800,5.203,23.1,1.929
T0801,5.233,23.1,1.929
T0802,5.195,23.1,1.929
T0803,5.096,23.1,1.929
T0804,5.043,23.1,1.929
T0805,5.028,23.1,1.929
T0806,5.066,23.1,1.929
T0807,5.073,23.1,1.929
T0808,5.058,23.1,1.929
T0809,5.058,23.1,1.929
T0810,5.05,23.1,1.929
T0811,5.02,23.1,1.929
T0812,4.936,23.1,1.929
T0813,5.005,23.1,1.929
T0814,5.02,23.1,1.929
T0815,5.043,23.1,1.929
T0816,5.073,23.1,1.929
T0817,5.088,23.1,1.929
T0818,5.088,23.1,1.929
T0819,5.111,23.1,1.929
T0820,5.134,23.1,1.929
T0821,5.149,23.1,1.929
T0822,5.165,23.1,1.929
T0823,5.172,23.1,1.929
T0824,5.18,23.1,1.929
T0825,5.18,23.1,1.929
T0826,5.134,23.1,1.929
T0827,5.073,23.1,1.929
T0828,5.058,23.1,1.929
T0829,5.157,23.1,1.929
T0830,5.157,23.1,1.929
T0831,5.142,23.1,1.929
T0832,5.142,23.1,1.929
T0833,5.165,23.1,1.929
T0834,5.172,23.1,1.929
T0835,5.149,23.1,1.929
T0836,5.127,23.1,1.929
T0837,5.142,23.1,1.929
T0838,5.165,23.1,1.929
T0839,5.18,23.1,1.929
T0840,5.195,23.1,1.929
T0841,5.21,23.1,1.929
T0842,5.241,23.1,1.929
T0843,5.271,23.1,1.929
T0844,5.34,23.1,1.929
T0845,5.401,23.1,1.929
T0846,5.439,23.1,1.929
T0847,5.492,23.1,1.929
T0848,5.569,23.1,1.929
T0849,5.508,23.1,1.929
T0850,5.325,23.1,1.929
T0851,5.172,23.1,1.929
T0852,5.073,23.1,1.929
T0853,5.028,23.1,1.929
T0854,4.997,23.1,1.929
T0855,4.974,23.1,1.929
T0856,5.02,23.1,1.929
T0857,5.028,23.1,1.929
T0858,5.043,23.1,1.929
T0859,5.035,23.1,1.929
T0860,5.058,23.1,1.929
T0861,5.058,23.1,1.929
T0862,5.02,23.1,1.929
T0863,5.035,23.1,1.929
T0864,5.035,23.1,1.929
T0865,5.043,23.1,1.929
T0866,5.02,23.1,1.929
T0867,4.997,23.1,1.929
T0868,4.982,23.1,1.929
T0869,4.997,23.1,1.929
T0870,5.012,23.1,1.929
T0871,4.982,23.1,1.929
T0872,4.959,23.1,1.929
T0873,4.944,23.1,1.929
